Sample name,Tool,Delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample1,freyja,0.224081,0.681355,0,0.094155,,0.7777777778,0.7777777778,0.04545454545,0.1904761905,0.1285714286
sample2,freyja,0.203352,0.536109,0,0.260539,,0.5935596171,0.5935596171,0.04545454545,0.04761904762,0.01428571429
sample3,freyja,0.23142,0.645686,0,0.122894,,0.7001779359,0.7001779359,0.1363636364,0.1587301587,0.08571428571
sample4,freyja,0.3,0.294218,0.231707,0.174075,,0.3188405797,0.6231884058,0.1363636364,0.07936507937,0.07142857143
sample5,freyja,0.052632,0.715661,0,0.231707,,0.6724137931,0.6724137931,0.09090909091,0.2222222222,0.1285714286
sample6,freyja,0.436667,0.374235,0,0.189098,,0.2839506173,0.2962962963,0.1363636364,0.07936507937,0.07142857143
sample7,freyja,0.274875,0.207921,0.233333,0.283871,,0.2166666667,0.5666666667,0.09090909091,0.03174603175,0.02857142857
sample8,freyja,0.897959,0,0,0.102041,,0,0,0.3181818182,0.06349206349,0.05714285714
sample9,freyja,0.100198,0.8125,0,0.087302,,0.914893617,0.914893617,0.1363636364,0.3333333333,0.1857142857
sample10,freyja,0.094498,0.823125,0,0.082377,,0.8544973545,0.8553791887,0.1363636364,0.5238095238,0.3285714286
sample11,freyja,0.634309,0.075017,0.0702,0.219697,,0.0990443093,0.2189400521,0.1818181818,0.01587301587,0.01428571429
sample12,freyja,0.745476,0.167125,0,0.087399,,0.1657271702,0.1657271702,0.3636363636,0.06349206349,0.05714285714
sample13,freyja,0.84103,0.064103,0,0.094867,,0.07766990291,0.07766990291,0.3636363636,0.07936507937,0.07142857143
sample14,freyja,0.072996,0.795918,0,0.131086,,0.9,0.9,0.09090909091,0.4444444444,0.2714285714
sample15,freyja,0.117647,0.084211,0.666367,0.1308865,,0.06849315068,0.8630136986,0.1363636364,0.3650793651,0.3857142857
sample16,freyja,0.911504,0.001111,0,0.087385,,0.008230452675,0.008230452675,0.5454545455,0.06349206349,0.05714285714
sample17,freyja,0,0,0.934783,0.065217,,0,1,0.09090909091,0.3333333333,0.4571428571
sample18,freyja,0.246969,0.642323,0,0.110708,,0.5415019763,0.5438735178,0.1363636364,0.1111111111,0.07142857143
sample19,freyja,0,0.445642,0.430387,0.123971,,0.4342948718,0.9487179487,0.09090909091,0.3968253968,0.4142857143
sample20,freyja,0,0.909744,0,0.089286,,0.9087261785,0.9137412237,0.09090909091,0.5714285714,0.3714285714
sample21,freyja,0.844652,0.006173,0,0.149175,,0.009606147935,0.009606147935,0.5,0.01587301587,0.01428571429
sample22,freyja,0,0.923275,0,0.076725,,0.8990450205,0.9045020464,0.09090909091,0.5714285714,0.3714285714
sample23,freyja,0,0.911765,0,0.088235,,0.8333333333,0.85,0.04545454545,0.4603174603,0.2857142857
sample24,freyja,0.541965,0.375834,0,0.082201,,0.3540723982,0.3540723982,0.1363636364,0.07936507937,0.05714285714
sample25,freyja,0.195122,0.488372,0,0.316506,,0.6031746032,0.6031746032,0.04545454545,0.01587301587,0
sample26,freyja,0.481013,0.347826,0,0.171161,,0.3846153846,0.3846153846,0.1363636364,0.09523809524,0.05714285714
sample27,freyja,0.290013,0.62478,0,0.085198,,0.6556291391,0.6556291391,0.1363636364,0.1746031746,0.1285714286
sample28,freyja,0.926027,0,0,0.073973,,0.025,0.025,0.5454545455,0.04761904762,0.04285714286
sample29,freyja,0.862601,0.060858,0,0.076541,,0.07534983854,0.07534983854,0.5,0.06349206349,0.05714285714
sample30,freyja,0.812792,0,0,0.187208,,0,0,0.4090909091,0.01587301587,0.01428571429
sample31,freyja,0.087081,0.60355,0.067516,0.241853,,0.6551446945,0.7443729904,0.09090909091,0.126984127,0.08571428571
sample32,freyja,0.688759,0.19846,0,0.112781,,0.1171073934,0.1171073934,0.2727272727,0.07936507937,0.07142857143
sample33,freyja,0,0.678719,0.181871,0.13941,,0.6669520548,0.9195205479,0.09090909091,0.4444444444,0.4
sample34,freyja,0,0.897436,0,0.102564,,0.78125,0.78125,0.09090909091,0.4126984127,0.2571428571
sample35,freyja,0.698582,0.155894,0,0.145524,,0.09090909091,0.09090909091,0.2727272727,0.07936507937,0.07142857143
sample36,freyja,0.835872,0.003036,0,0.160898,,0.04166666667,0.04166666667,0.3636363636,0.04761904762,0.04285714286
sample37,freyja,0.397727,0.350141,0,0.252132,,0.390625,0.390625,0.09090909091,0.03174603175,0.02857142857
sample38,freyja,0.729878,0.148993,0,0.120371,,0.2,0.2,0.3181818182,0.06349206349,0.04285714286
sample39,freyja,0.82956,0.074338,0,0.096102,,0.05111336032,0.0516194332,0.5,0.07936507937,0.07142857143
sample40,freyja,0,0.907931,0,0.091945,,0.7978803936,0.7993943982,0.09090909091,0.5714285714,0.3714285714
sample41,freyja,0.666667,0.223684,0,0.109649,,0.2727272727,0.2727272727,0.2727272727,0.06349206349,0.05714285714
sample42,freyja,0.068966,0.075596,0.571429,0.283415,,0.1343283582,0.776119403,0.04545454545,0.06349206349,0.08571428571
sample43,freyja,0,0,0.903226,0.095819,,0.01075268817,1,0.09090909091,0.3015873016,0.4857142857
sample44,freyja,0.72198,0.04878,0,0.22924,,0.1162790698,0.2790697674,0.3181818182,0.06349206349,0.05714285714
sample45,freyja,0,0.517438,0.055556,0.427006,,0.6417910448,0.7462686567,0.1363636364,0.1587301587,0.1428571429
sample46,freyja,0.007194,0.910714,0,0.081438,,0.8843830889,0.8843830889,0.1363636364,0.5555555556,0.3571428571
sample47,freyja,0.465909,0.405733,0,0.128358,,0.3053040103,0.3059508409,0.1363636364,0.07936507937,0.07142857143
sample48,freyja,0.480519,0.446237,0,0.073244,,0.6296296296,0.6296296296,0.1363636364,0.04761904762,0.04285714286
sample49,freyja,0.903571,0,0,0.096429,,0,0,0.4545454545,0.07936507937,0.07142857143
sample50,freyja,0.225352,0.637393,0,0.137255,,0.4516129032,0.4516129032,0.1363636364,0.1587301587,0.1
sample51,freyja,0.927872,0,0,0.072128,,0,0,0.5909090909,0.04761904762,0.04285714286
sample52,freyja,0,0,0,1,,0.9736842105,1,0.09090909091,0.3492063492,0.2571428571
sample53,freyja,0.103448,0.780488,0,0.116064,,0.6363636364,0.6493506494,0.1363636364,0.3333333333,0.2
sample54,freyja,0.903846,0,0,0.096154,,0,0,0.5,0.06349206349,0.05714285714
sample55,freyja,0.823401,0.081758,0,0.094841,,0.09626719057,0.09626719057,0.5,0.06349206349,0.05714285714
sample56,freyja,0.006829,0.894294,0,0.098503,,0.8875236295,0.8922495274,0.1363636364,0.5714285714,0.3714285714
sample57,freyja,0.919355,0,0,0.080645,,0,0,0.5,0.04761904762,0.04285714286
sample58,freyja,0.908354,0.00251,0,0.089136,,0.01622718053,0.01622718053,0.5909090909,0.04761904762,0.04285714286
sample59,freyja,0,0.409091,0.410256,0.180653,,0.2931034483,0.9482758621,0.09090909091,0.3650793651,0.3571428571
sample60,freyja,0,0.207128,0.635046,0.157826,,0.2338957055,0.9716257669,0.09090909091,0.3968253968,0.4714285714
sample61,freyja,0.831579,0.051726,0,0.116695,,0.1147540984,0.1147540984,0.4545454545,0.04761904762,0.04285714286
