Sample name,fr_delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample47 ,0.4659090000000001,0.405733,0.0,0.128358,,0.30530401030000004,0.3059508409,0.13636363640000002,0.07936507937000001,0.07142857142999999
sample48 ,0.48051900000000003,0.446237,0.0,0.073244,,0.6296296296,0.6296296296,0.13636363640000002,0.04761904762,0.04285714286
sample49 ,0.9035709999999999,0.0,0.0,0.09642899999999999,,0.0,0.0,0.45454545450000006,0.07936507937000001,0.07142857142999999
sample50 ,0.225352,0.637393,0.0,0.137255,,0.4516129032,0.4516129032,0.13636363640000002,0.15873015869999998,0.1
sample51 ,0.9278719999999999,0.0,0.0,0.072128,,0.0,0.0,0.5909090909,0.04761904762,0.04285714286
sample52 ,0.0,0.0,0.0,0.9999999999999999,,0.9736842105,1.0,0.09090909091,0.34920634920000004,0.2571428571
sample53 ,0.103448,0.780488,0.0,0.11606399999999999,,0.6363636364,0.6493506494,0.13636363640000002,0.3333333333,0.2
sample54 ,0.9038459999999999,0.0,0.0,0.096154,,0.0,0.0,0.5,0.06349206349,0.057142857139999996
sample55 ,0.8234009999999998,0.081758,0.0,0.094841,,0.09626719057,0.09626719057,0.5,0.06349206349,0.057142857139999996
sample56 ,0.006829,0.8942939999999999,0.0,0.09850300000000001,,0.8875236295000001,0.8922495274,0.13636363640000002,0.5714285714,0.3714285714
sample57 ,0.919355,0.0,0.0,0.08064500000000001,,0.0,0.0,0.5,0.04761904762,0.04285714286
sample58 ,0.9083540000000001,0.00251,0.0,0.08913599999999999,,0.01622718053,0.01622718053,0.5909090909,0.04761904762,0.04285714286
sample59 ,0.0,0.409091,0.410256,0.180653,,0.29310344829999996,0.9482758620999999,0.09090909091,0.3650793651,0.3571428571
sample60 ,0.0,0.20712799999999998,0.635046,0.15782599999999997,,0.2338957055,0.9716257669,0.09090909091,0.3968253968,0.4714285714
sample61 ,0.8315790000000001,0.051726,0.0,0.116695,,0.1147540984,0.1147540984,0.45454545450000006,0.04761904762,0.04285714286
sample62 ,0.572321,0.197415,0.0,0.230264,,0.2514177694,0.2514177694,0.1818181818,0.04761904762,0.04285714286
sample63 ,0.0,0.9125,0.0,0.08750000000000001,,0.8723404255,0.8936170213,0.09090909091,0.44444444439999997,0.2571428571
sample64 ,0.8977780000000001,0.00488,0.0,0.097342,,0.0018885741269999998,0.0018885741269999998,0.5454545454999999,0.06349206349,0.057142857139999996
sample65 ,0.084507,0.6171904999999999,0.0,0.2983025,,0.6279069767000001,0.9069767442,0.13636363640000002,0.3015873016,0.2285714286
sample66 ,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,
sample67 ,0.32080000000000003,0.301758,0.26229499999999994,0.11514700000000001,,0.3157431838,0.6842568162,0.13636363640000002,0.07936507937000001,0.07142857142999999
sample68 ,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0
sample69 ,0.3,0.64,0.0,0.06,,0.5789473684,0.5789473684,0.13636363640000002,0.11111111109999999,0.07142857142999999
sample70 ,0.09641599999999999,0.802251,0.0,0.10133299999999999,,0.7197851388,0.7206803939,0.13636363640000002,0.46031746030000004,0.2714285714
sample71 ,0.0,0.931035,0.0,0.068965,,0.9142857143,0.9714285714,,0.3650793651,0.2428571429
sample72 ,0.908759,0.0,0.0,0.091241,,0.0,0.0,0.5909090909,0.06349206349,0.057142857139999996
sample73 ,0.76,0.087379,0.0,0.152621,,0.1,0.1,0.3181818182,0.03174603175,0.028571428569999998
sample74 ,0.0,0.9130429999999999,0.0,0.08695699999999999,,0.9375,0.9375,0.04545454545,0.4920634921,0.34285714289999997
sample75 ,0.0,0.0,0.0,1.0,,0.0,0.0,,,
sample76 ,0.0,0.923077,0.0,0.076923,,0.9127516779000001,0.9127516779000001,0.09090909091,0.5714285714,0.3714285714
sample77 ,0.0,0.917695,0.0,0.082305,,0.9259259259,0.9259259259,0.04545454545,0.44444444439999997,0.2714285714
sample78 ,0.7364059999999999,0.077922,0.0,0.185672,,0.1117266851,0.1117266851,0.3636363636,0.01587301587,0.01428571429
sample79 ,0.08173599999999999,0.075269,0.5903959999999999,0.251824,,0.0821812596,0.8072196621,0.13636363640000002,0.15873015869999998,0.1571428571
sample80 ,0.0,0.672262,0.178237,0.14950100000000002,,0.5538461538,0.8769230768999999,0.09090909091,0.380952381,0.3142857143
sample81 ,0.693016,0.20300800000000002,0.0,0.103976,,0.2683379759,0.2683379759,0.2727272727,0.06349206349,0.057142857139999996
sample82 ,0.09555299999999999,0.714701,0.069202,0.12054400000000001,,0.7368852459,0.8549180328,0.13636363640000002,0.4126984127,0.34285714289999997
sample83 ,0.0,0.0,0.0,0.99961,,0.9953488372,0.9968992248,0.13636363640000002,0.4920634921,0.3714285714
sample84 ,0.0,0.206761,0.608684,0.18455499999999997,,0.20689655170000001,0.9482758620999999,0.09090909091,0.34920634920000004,0.42857142859999997
sample85 ,0.392701,0.360013,0.0,0.24728600000000003,,0.41709844560000003,0.41709844560000003,0.09090909091,0.04761904762,0.028571428569999998
sample86 ,0.010158,0.906098,0.0,0.083744,,0.8993288590999999,0.9006711409,0.13636363640000002,0.5555555556,0.3571428571
sample87 ,0.08740400000000001,0.7017539999999999,0.0,0.21084199999999997,,0.7168576105,0.7168576105,0.09090909091,0.1904761905,0.08571428571
sample88 ,0.4698529999999999,0.420157,0.0,0.10999,,0.5154545454999999,0.5154545454999999,0.13636363640000002,0.07936507937000001,0.057142857139999996
sample89 ,0.005294,0.791251,0.0,0.202887,,0.7896494156999999,0.7896494156999999,0.09090909091,0.42857142859999997,0.2428571429
sample90 ,0.0,0.0,0.9119999999999999,0.088,,0.001611170784,0.9957035445999999,0.09090909091,0.3968253968,0.5857142857
sample91 ,0.5599609999999999,0.212766,0.0,0.227273,,0.2941176471,0.2941176471,0.1818181818,0.01587301587,0.01428571429
sample92 ,0.098374,0.077165,0.707152,0.117134,,0.09149277688999999,0.9020866773999999,0.1818181818,0.380952381,0.4142857143
sample93 ,0.626667,0.063291,0.0875,0.22254200000000002,,0.1129032258,0.2258064516,0.13636363640000002,0.04761904762,0.04285714286
sample94 ,0.264423,0.249373,0.23789800000000003,0.248306,,0.2549869905,0.6001734605,0.13636363640000002,0.04761904762,0.04285714286
sample95 ,0.0,0.7604169999999999,0.0,0.23958300000000002,,0.8,0.8,0.04545454545,0.2857142857,0.1571428571
sample96 ,0.117359,0.7961340000000001,0.0,0.086507,,0.7812911726,0.7826086956999999,0.13636363640000002,0.5396825397,0.34285714289999997
sample97 ,0.0,0.9199999999999999,0.0,0.07999999999999999,,0.803030303,0.803030303,0.09090909091,0.4761904762,0.3142857143
sample98 ,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0
sample99 ,0.7417499999999999,0.073737,0.07654899999999999,0.10726300000000001,,0.11025886859999999,0.2243528284,0.3181818182,0.06349206349,0.057142857139999996
sample100 ,0.0,0.0,0.9218290000000001,0.078171,,0.0,1.0,0.09090909091,0.3968253968,0.5857142857
