Sample name,Tool,BA2
sample32,cojac,0.1171073934
sample33,cojac,0.9195205479
sample34,cojac,0.78125
sample35,cojac,0.09090909091
sample36,cojac,0.04166666667
sample37,cojac,0.390625
sample38,cojac,0.2
sample39,cojac,0.0516194332
sample40,cojac,0.7993943982
sample41,cojac,0.2727272727
sample42,cojac,0.776119403
sample43,cojac,1
sample44,cojac,0.2790697674
sample45,cojac,0.7462686567
sample46,cojac,0.8843830889
sample47,cojac,0.3059508409
sample48,cojac,0.6296296296
sample49,cojac,0
sample50,cojac,0.4516129032
sample51,cojac,0
sample52,cojac,1
sample53,cojac,0.6493506494
sample54,cojac,0
sample55,cojac,0.09626719057
sample56,cojac,0.8922495274
sample57,cojac,0
sample58,cojac,0.01622718053
sample59,cojac,0.9482758621
sample60,cojac,0.9716257669
sample61,cojac,0.1147540984
sample62,cojac,0.2514177694
sample63,cojac,0.8936170213
sample64,cojac,0.001888574127
sample65,cojac,0.9069767442
sample66,cojac,0
sample67,cojac,0.6842568162
sample68,cojac,0
sample69,cojac,0.5789473684
sample70,cojac,0.7206803939
sample71,cojac,0.9714285714
sample72,cojac,0
sample73,cojac,0.1
sample74,cojac,0.9375
sample75,cojac,0
sample76,cojac,0.9127516779
sample77,cojac,0.9259259259
sample78,cojac,0.1117266851
sample79,cojac,0.8072196621
sample80,cojac,0.8769230769
sample81,cojac,0.2683379759
sample82,cojac,0.8549180328
sample83,cojac,0.9968992248
sample84,cojac,0.9482758621
sample85,cojac,0.4170984456
sample86,cojac,0.9006711409
sample87,cojac,0.7168576105
sample88,cojac,0.5154545455
sample89,cojac,0.7896494157
sample90,cojac,0.9957035446
sample91,cojac,0.2941176471
sample92,cojac,0.9020866774
sample93,cojac,0.2258064516
sample94,cojac,0.6001734605
sample95,cojac,0.8
sample96,cojac,0.7826086957
sample97,cojac,0.803030303
sample98,cojac,0
sample99,cojac,0.2243528284
sample100,cojac,1
