Sample name	summarized	lineages	abundances	resid	coverage
sample91 	[('Delta', 0.559960999994134), ('Other', 0.22575300000084014), ('Omicron', 0.21428599999962197)]	B BA.1.18 AY.9.2 AY.4.9 AY.4.2 AY.43 AY.4 AY.129 BA.1.1 B.1.617.2 AY.38 BA.1.1.1 B.1.1.529	0.22575300 0.17244300 0.12244900 0.11111100 0.08771900 0.07462700 0.06841100 0.05396500 0.03323100 0.02337600 0.01830300 0.00709200 0.00152000	9.537164539	99.95971667
sample92 	[('BA.2* [Omicron (BA.2.X)]', 0.41767699998809915), ('Other', 0.3631150000156887), ('Omicron', 0.12065899999266864), ('Delta', 0.098373999969718)]	BA.2.3.16 BA.2.5 BA.2.11 B BA.2 AY.4 BA.2.3.9 BA.2.23 B.1.1.529 BA.2.8 BA.2.1 BA.1.1.10 BA.1.1.13 BA.1.18 BA.1.15.1 B.1.617.2 AY.9.2 AY.28 BA.1.16 BA.2.4 AY.43 BA.1.1.14 XAD AY.6 XS	0.28947500 0.11098400 0.09918000 0.07007700 0.06324200 0.04993700 0.04103400 0.04076300 0.03852500 0.03697600 0.01875000 0.01818200 0.01554400 0.01432500 0.01330800 0.01307500 0.01246300 0.01222800 0.00931600 0.00674800 0.00670500 0.00649000 0.00496900 0.00396600 0.00356300	4.628525353	99.95971667
sample93 	[('Delta', 0.6266669997887918), ('Other', 0.22254200032813334), ('BA.2* [Omicron (BA.2.X)]', 0.08750000002207418), ('Omicron', 0.06329100001667441)]	B AY.4.9 AY.113 BA.2.23 AY.9.2 BA.1.18 AY.43 AY.75 AY.4 AY.129 AY.28 miscDeltaBA1Post11k	0.22061600 0.20833300 0.08751500 0.08750000 0.08230500 0.06329100 0.06097600 0.05454500 0.04576500 0.04375000 0.04347800 0.00192600	10.48049276	99.95971667
sample94 	[('Omicron', 0.29091899999458004), ('Delta', 0.2644229999942598), ('Other', 0.23866000001546284), ('BA.2* [Omicron (BA.2.X)]', 0.20599799999920038)]	B BA.1.18 AY.4 BA.2.3 BA.2.3.9 BA.2.5 B.1.1.529 BA.1.15.1 AY.75 BA.1.1.13 AY.4.9 BA.2.3.16 AY.43 AY.28 BA.1.16 AY.129 AY.9.2 BA.2.8 BA.2 BA.2.1 AY.4.2 BA.1.1.1 BA.2.23 BA.2.11	0.20676000 0.15455600 0.10686700 0.07832800 0.04701600 0.04287800 0.04154600 0.03575300 0.03525400 0.03259600 0.03235300 0.03190000 0.02633200 0.02329700 0.02016500 0.01688300 0.01435200 0.01156700 0.01069100 0.00966200 0.00908500 0.00630300 0.00449300 0.00136300	9.547363171	99.95971667
sample95 	[('Omicron', 0.7699999999703054), ('Other', 0.23000000001344523)]	BA.1.18 BA.1.15.1 B BA.1.10 BA.1.19 B.1.1.161 BA.1.1 BA.1.16 BA.1.3 B.1.1.529	0.25000000 0.19230800 0.14285700 0.11538500 0.11111100 0.08714300 0.05084700 0.02816900 0.01259700 0.00958300	8.082869823	99.95971667
sample96 	[('Omicron', 0.8029349999756126), ('Delta', 0.11735899999009122), ('Other', 0.07970600001523348)]	BA.1.10 BA.1.19 BA.1.1.13 BA.1.18 BA.1.9 B BA.1.15 BA.1.16 BA.1.15.1 BA.1.3 AY.4 AY.113 AY.9.2 B.1.617.2 AY.4.2 AY.4.9 B.1.1.529 B.1.78 AY.28 AY.38	0.20634700 0.09388300 0.09333300 0.08992800 0.08887800 0.07442600 0.06845700 0.06099500 0.04952100 0.04479200 0.03500000 0.02556200 0.01854000 0.01086100 0.01073300 0.01041700 0.00680100 0.00528000 0.00518600 0.00106000	4.535710806	99.95971667
sample97 	[('Omicron', 0.9199999999983797), ('Other', 0.07999999999277835)]	BA.1.18 BA.1.15.1 BA.1.1.1 BA.1.16 BA.1.1 BA.1.1.13 BA.1.9 B B.1.1.161 B.1.1	0.40476200 0.16304300 0.08489900 0.07692300 0.07507900 0.05797100 0.05732300 0.03703700 0.02706600 0.01589700	3.158355491	99.95971667
sample98 	[('Other', 0.9999999999418291)]	B	1	19.21767846	99.95971667
sample99 	[('Delta', 0.7417499997861563), ('Omicron', 0.10323399997113979), ('Other', 0.10108400001137263), ('BA.2* [Omicron (BA.2.X)]', 0.05323100002081344)]	AY.6 AY.9.2 AY.4 AY.4.9 B AY.28 AY.43 AY.4.2 BA.1.18 AY.4.10 B.1.1.529 BA.2.3.16 BA.2.5 BA.1.15.1 BA.2.3 AY.25.1 AY.25 AY.113 BA.1.1.13 B.1.617.2 B.1.78 BA.1.16 BA.2 XM BA.2.23 BA.1.1.10	0.15987800 0.12415400 0.12070500 0.08532900 0.06995400 0.06621000 0.06064300 0.03766300 0.02844700 0.02685600 0.02375100 0.02331800 0.02279900 0.02255200 0.02197200 0.01828800 0.01658500 0.01428200 0.01426700 0.01115700 0.00781200 0.00702000 0.00647700 0.00574600 0.00198300 0.00145100	6.335534032	99.95971667
sample100 	[('BA.2* [Omicron (BA.2.X)]', 0.9218289999588), ('Other', 0.07649999991513652), ('Omicron', 0.0016709999988107984)]	BA.2.3.9 BA.2.5 BA.2.23 BA.2.8 B BA.2 BA.2.1 B.1.1 BA.2.4 miscBA2BA1PostSpike XAC	0.57913700 0.12512600 0.08452500 0.07138600 0.06615500 0.04196200 0.01231800 0.00761500 0.00737500 0.00273000 0.00167100	1.736390749	99.95971667
