Sample name	summarized	lineages	abundances	resid	coverage
sample33 	[('Omicron', 0.7439069999168743), ('BA.2* [Omicron (BA.2.X)]', 0.16595299991492132), ('Other', 0.09014000007796175)]	BA.1.18 BA.1.15.1 BA.1.1.13 B BA.1.16 BA.1.1.1 XAC BA.1.19 BA.2.5 BA.2.3.9 BA.2 BA.1.3 BA.2.23 BA.2.3.16 BA.3 BA.2.8 BA.2.1	0.31121100 0.10076000 0.07752800 0.07422200 0.05752400 0.05480200 0.05335600 0.05147000 0.04749300 0.04036100 0.03603900 0.02542400 0.02334500 0.01591800 0.01183200 0.01112500 0.00759000	3.584162174	99.95971667
sample34 	[('Omicron', 0.8974359999995691), ('Other', 0.10256400000148344)]	BA.1.18 BA.1.10 BA.1.1.13 BA.1.15.1 BA.1.3 B BA.1.1 BA.1 BA.1.15 BA.1.16 B.1.1.161	0.22033900 0.13483100 0.12766000 0.11764700 0.09972800 0.07575800 0.07068700 0.04859900 0.04201700 0.03592800 0.02680600	2.500916429	99.95971667
sample35 	[('Delta', 0.6985819999674893), ('Omicron', 0.17543899994103385), ('Other', 0.1259790000003258)]	AY.4 AY.38 AY.4.9 BA.1.1 AY.9.2 B BA.1.10 AY.25 B.1.1.161 AY.9 B.1.78 B.1.1.529 BA.1	0.27218000 0.13236300 0.13207500 0.07894700 0.07462700 0.07017500 0.06512100 0.05916000 0.03386300 0.02817700 0.02194100 0.01954500 0.01182600	7.61577945	99.95971667
sample36 	[('Delta', 0.8358719999786792), ('Other', 0.14619700000323302), ('Omicron', 0.017736999999894046)]	AY.4 AY.113 AY.6 AY.28 B AY.9.2 AY.4.2 AY.25 AY.43 B.1 AY.38 miscDeltaBA1Post11k B.1.1.529 BA.1.9	0.15386100 0.15247600 0.15128700 0.10714300 0.07941200 0.06818200 0.06756800 0.05454500 0.04651200 0.03513900 0.03429800 0.03164600 0.01470100 0.00303600	8.663056327	99.95971667
sample37 	[('Delta', 0.39772699986680315), ('Omicron', 0.3740289987872254), ('Other', 0.22824399992005565)]	AY.4 B BA.1.18 BA.1.10 BA.1.15.1 AY.9.2 B.1.1.161 AY.129 BA.1.1.14 AY.113 B.1.617.2 B.1.1.529 miscDeltaBA1Post11k BA.1.9	0.20652200 0.16637600 0.11458300 0.10234500 0.08823500 0.07692300 0.05128200 0.04861100 0.03636400 0.03428100 0.03139000 0.02388800 0.01058600 0.00861400	10.99786203	99.95971667
sample38 	[('Delta', 0.7298779999581992), ('Omicron', 0.1735459999381316), ('Other', 0.09581799999558031)]	AY.113 AY.9.2 AY.4 AY.4.2 BA.1.18 AY.28 B AY.43 BA.1.3 AY.38 B.1.1.529 BA.1.16 miscDeltaBA1Post11k B.1.617.2	0.17645400 0.14893600 0.13076900 0.10000000 0.08333300 0.08163300 0.07500000 0.04902000 0.04162200 0.03150000 0.02455300 0.02403800 0.02081800 0.01156600	9.547830534	99.95971667
sample39 	[('Delta', 0.829559999938955), ('Other', 0.09610200000424796), ('Omicron', 0.07433800002403232)]	AY.4 AY.38 B AY.9.2 AY.28 AY.4.9 AY.4.10 AY.4.2 BA.1.1 AY.46 AY.9 AY.25.1 BA.1.15 BA.1.18 B.1.78 BA.1.15.1 BA.1.1.10	0.39815600 0.09222200 0.08650500 0.07230900 0.05429100 0.05250400 0.04174200 0.03604100 0.03232800 0.02874100 0.02758000 0.02597400 0.01935300 0.01030500 0.00959700 0.00679600 0.00555600	4.596815161	99.95971667
sample40 	[('Omicron', 0.9079309999257238), ('Other', 0.09194500002625444)]	BA.1.18 BA.1.3 BA.1.16 BA.1.15.1 BA.1.1.14 B BA.1.1.1 BA.1.1.13 BA.1.19 BA.1.10 B.1.78	0.26633900 0.13709600 0.13471800 0.12044400 0.11503200 0.08904100 0.05137700 0.04551200 0.02746600 0.00994700 0.00290400	1.816451468	99.95971667
sample41 	[('Delta', 0.6666669999910739), ('Omicron', 0.23750000000017146), ('Other', 0.09583300000205597)]	AY.4 AY.43 BA.1.18 BA.1.15.1 AY.38 B.1 AY.9 AY.113 AY.28 B B.1.617.2 BA.1.16 B.1.1.529	0.31250000 0.09756100 0.09719600 0.09523800 0.06868000 0.05583300 0.05511800 0.04827200 0.04807700 0.04000000 0.03645900 0.03125000 0.01381600	8.176557012	99.95971667
sample42 	[('BA.2* [Omicron (BA.2.X)]', 0.5714289998761917), ('Other', 0.2120260006446907), ('Omicron', 0.14698499915296234), ('Delta', 0.06896599990943295)]	BA.2.3.9 B BA.2 BA.2.11 BA.2.5 BA.2.8 B.1.617.2 B.1.1.529 BA.1.15.1 BA.1.10 XM BA.1	0.21875000 0.21202600 0.10806100 0.09368500 0.08196700 0.06896600 0.06896600 0.04281800 0.03703700 0.03608700 0.02857100 0.00247200	10.33361538	99.95971667
sample43 	[('BA.2* [Omicron (BA.2.X)]', 0.9032259999698159), ('Other', 0.09581899998055261)]	BA.2.3 BA.2.8 BA.2.5 B BA.2.23 BA.2 miscBA2BA1PostSpike BA.2.16	0.40000000 0.21739100 0.14893600 0.08695700 0.08230100 0.04610900 0.00886200 0.00848900	2.418263243	99.95971667
sample44 	[('Delta', 0.7219799996829798), ('Omicron', 0.14814799997740014), ('Other', 0.12987200003871652)]	AY.9.2 AY.6 AY.4.9 B AY.4 AY.43 XM miscDeltaBA1Post11k BA.1.18 B.1.1.529 AY.38 B.1.617.2	0.20588200 0.16323500 0.16279100 0.08000000 0.07357300 0.06481500 0.05172400 0.04987200 0.04878000 0.04764400 0.03736100 0.01432300	7.789276282	99.95971667
sample45 	[('Omicron', 0.5653299999603937), ('Other', 0.37911399996848943), ('BA.2* [Omicron (BA.2.X)]', 0.05555599999051464)]	BA.1.18 B B.1.78 B.1.1.161 BA.1.19 BA.1.15 BA.1.1.14 BA.2.11 miscDeltaBA1Post11k XM BA.1.1 B.1.1	0.26595700 0.11790400 0.10714300 0.08209600 0.08162500 0.07894700 0.06460800 0.05555600 0.05000000 0.04789200 0.02630100 0.02197100	9.458823492	99.95971667
sample46 	[('Omicron', 0.910713999977326), ('Other', 0.08143800013595287), ('Delta', 0.007193999999967454)]	BA.1.18 BA.1.15.1 BA.1.19 BA.1.1.13 BA.1.1.1 B BA.1.10 BA.1.16 BA.1.3 BA.1.15 B.1.78 AY.4	0.29524500 0.15409800 0.10447800 0.09806000 0.07740400 0.07225800 0.06100500 0.05933000 0.05111100 0.00998300 0.00918000 0.00719400	1.710404285	99.95971667
sample47 	[('Delta', 0.4659089999924293), ('Omicron', 0.4254359999950135), ('Other', 0.10865500000496023)]	AY.4 B BA.1.1 BA.1.15 BA.1.18 BA.1.3 AY.9.2 AY.4.2 BA.1.15.1 AY.43 AY.9 BA.1.10 AY.38 AY.25.1 AY.28 BA.1.19 B.1.78 AY.4.10 B.1.1.529 BA.1.1.13 BA.1.1.10 B.1.617.2 AY.4.9 AY.25 BA.1.16 AY.46 AY.113	0.15910300 0.08450500 0.08426200 0.06316900 0.05889200 0.05802000 0.05004500 0.04175800 0.04023700 0.03720900 0.03223700 0.03178600 0.03037800 0.03010800 0.02740700 0.02477200 0.02415000 0.02127700 0.01970300 0.01902900 0.01762900 0.01099900 0.00825400 0.00823100 0.00793700 0.00743500 0.00146800	7.634923689	99.95971667
sample48 	[('Delta', 0.4805189999243845), ('Omicron', 0.44623699997812727), ('Other', 0.07324400012940828)]	AY.4 BA.1.18 BA.1.3 BA.1.1 BA.1.15.1 AY.113 AY.4.9 B AY.9.2 AY.28 AY.38 BA.1.1.1	0.18010200 0.16071400 0.09262000 0.08045900 0.08000000 0.07676800 0.07500000 0.07324400 0.06250000 0.04878000 0.03736900 0.03244400	9.93166242	99.95971667
sample49 	[('Delta', 0.9035709998948793), ('Other', 0.09642899997236948)]	AY.4 AY.38 B AY.4.10 AY.9.2 AY.4.9 AY.25 AY.43 AY.4.2 AY.9 B.1	0.39511000 0.12500000 0.08192100 0.08108100 0.07692300 0.06177600 0.05612200 0.05102000 0.03346200 0.02307700 0.01450800	4.041609767	99.95971667
sample50 	[('Omicron', 0.6904759999998663), ('Delta', 0.22535200000040395), ('Other', 0.08417199999823101)]	AY.4 BA.1.10 BA.1.1 BA.1.3 BA.1.15.1 BA.1.18 B B.1.1.529 BA.1.15 B.1.617.2 BA.1.16 B.1.78 B.1.1.161	0.17647100 0.17105300 0.13043500 0.08695700 0.08695700 0.08000000 0.05666700 0.05308300 0.05041200 0.04888100 0.03157900 0.01427700 0.01322800	6.779884568	99.95971667
sample51 	[('Delta', 0.9278719999608976), ('Other', 0.0721279999987205)]	AY.6 AY.9.2 AY.28 AY.4.9 AY.43 B AY.4 AY.4.2 AY.4.10 AY.25 AY.25.1 AY.38 AY.46	0.24144400 0.15904100 0.11626100 0.10900100 0.08529900 0.07212800 0.07080400 0.05667400 0.03264800 0.01989500 0.01757800 0.01424500 0.00498200	4.03089387	99.95971667
sample52 	[('Other', 0.9999999999992377)]	proposed439 B B.1	0.92156900 0.07500000 0.00343100	2.977483183	99.95971667
sample53 	[('Omicron', 0.7948719999995595), ('Delta', 0.10344799999846002), ('Other', 0.10168000001431218)]	BA.1.1 BA.1.19 BA.1.10 BA.1.18 B BA.1.15 AY.4.9 BA.1.15.1 B.1.617.2 BA.1.1.1 B.1.78 B.1.1.529	0.24000400 0.13043500 0.12728800 0.12500000 0.08450700 0.06958100 0.06122400 0.05769200 0.04222400 0.03048800 0.01717300 0.01438400	5.232312392	99.95971667
sample54 	[('Delta', 0.9038459996457706), ('Other', 0.096153999991416)]	AY.4 AY.9.2 AY.4.9 AY.28 B AY.25.1 AY.6 AY.43 AY.4.10 B.1 B.1.617.2	0.30578000 0.17187500 0.11627900 0.10085200 0.08176100 0.07608700 0.05989000 0.03968300 0.02955400 0.01439300 0.00384600	3.444761501	99.95971667
sample55 	[('Delta', 0.8234009999876758), ('Omicron', 0.09200700000004589), ('Other', 0.0845920000019702)]	AY.6 AY.9.2 AY.4.9 AY.4 B AY.28 AY.43 BA.1.18 AY.4.10 AY.4.2 BA.1.15.1 AY.25 BA.1.1.13 AY.25.1 AY.113 B.1.1.529 AY.46 BA.1.16 AY.38 B.1	0.21353000 0.13800000 0.12568300 0.09135800 0.07986900 0.07819900 0.06981100 0.04314600 0.03566800 0.01891700 0.01841700 0.01809400 0.01432100 0.01131800 0.01076000 0.01024900 0.00639700 0.00587400 0.00566600 0.00472300	5.330040251	99.95971667
sample56 	[('Omicron', 0.9037589999998785), ('Other', 0.08903800000425606), ('Delta', 0.006828999976971244)]	BA.1.18 BA.1.10 BA.1.1 BA.1.15.1 B BA.1.3 BA.1.1.13 BA.1.19 BA.1.15 BA.1.1.1 BA.1.16 B.1.1.529 AY.6 B.1.78	0.18139500 0.16955000 0.13778000 0.11337600 0.08651100 0.07684300 0.07566500 0.05037500 0.03931600 0.02579800 0.02419600 0.00946500 0.00682900 0.00252700	1.799809672	99.95971667
sample57 	[('Delta', 0.9193549999767817), ('Other', 0.08064499999900317)]	AY.6 AY.4.9 AY.38 AY.43 AY.9.2 B AY.4 AY.28 B.1.617.2 B.1	0.30481700 0.15789500 0.14921800 0.09090900 0.08333300 0.07692300 0.05749000 0.05633800 0.01935500 0.00372200	5.733177091	99.95971667
sample58 	[('Delta', 0.9083539997717143), ('Other', 0.08913600002775011), ('Omicron', 0.002510000004197538)]	AY.6 AY.9.2 AY.4.9 AY.43 AY.28 B AY.4.2 AY.4 AY.4.10 AY.25 AY.25.1 AY.38 AY.113 B.1 miscDeltaBA1Post11k BA.1.18	0.20149200 0.16096600 0.11716500 0.09735100 0.09445700 0.07547200 0.06501100 0.06115200 0.03185500 0.02820400 0.02055200 0.01717500 0.01297400 0.00944300 0.00422100 0.00251000	3.987582778	99.95971667
sample59 	[('BA.2* [Omicron (BA.2.X)]', 0.4102559999987416), ('Omicron', 0.40909099999255816), ('Other', 0.18065299999811743)]	BA.1.18 BA.2.3.9 BA.2 BA.2.5 miscBA2BA1PostSpike BA.1.1.1 B BA.1.16 BA.1.1.14 B.1.1	0.22894400 0.15000000 0.14914500 0.11111100 0.09883500 0.09616100 0.07575800 0.06250000 0.02148600 0.00606000	6.353903832	99.95971667
sample60 	[('BA.2* [Omicron (BA.2.X)]', 0.390713999999941), ('Other', 0.31845399999875884), ('Omicron', 0.29083199999868)]	BA.2.3.16 BA.2 BA.2.5 BA.1.18 BA.2.23 B XAC BA.1.1.1 BA.2.8 BA.1.15.1 BA.3 BA.1.1.13 BA.1.16 BA.2.1 BA.2.4 B.1.78 B.1.1.161	0.24433200 0.13348900 0.11285100 0.10687800 0.08580900 0.06140100 0.06089600 0.03616200 0.03527600 0.02424200 0.02280800 0.02278500 0.01706100 0.01670100 0.00658800 0.00643300 0.00628800	3.512578436	99.95971667
sample61 	[('Delta', 0.8315789995026043), ('Other', 0.11669500001128813), ('Omicron', 0.05172600000736577)]	AY.6 AY.9.2 AY.4.9 B AY.28 AY.4.2 AY.4 BA.1.18 AY.43 miscDeltaBA1Post11k B.1	0.28935100 0.15625000 0.13513500 0.08301900 0.08103800 0.06451600 0.05841400 0.05172600 0.04687500 0.02639900 0.00727700	7.589271887	99.95971667
sample62 	[('Delta', 0.5723209981630876), ('Omicron', 0.2327679993074661), ('Other', 0.19491100128141045)]	B AY.4 BA.1.18 AY.9.2 AY.28 AY.4.9 AY.43 AY.113 AY.129 BA.1.15.1 B.1.1.529 AY.4.2 AY.75 BA.1.1.13 BA.1.16 AY.25.1 AY.25 AY.4.10 BA.1.3 AY.6	0.19491100 0.14613400 0.10658700 0.09227600 0.05613300 0.04879700 0.04496800 0.04487000 0.04464300 0.03802800 0.03535300 0.02697100 0.02452300 0.02438000 0.02148900 0.01657800 0.01301400 0.00984500 0.00693100 0.00356900	8.628381939	99.95971667
sample63 	[('Omicron', 0.9124999999973371), ('Other', 0.08750000000071495)]	BA.1.18 BA.1.10 BA.1.3 BA.1.15 BA.1.1.14 B BA.1.1.1 BA.1.19 BA.1.16 BA.1 B.1.1.161 BA.1.9	0.21052600 0.15476200 0.12987000 0.12000000 0.10277500 0.07692300 0.06963900 0.06250000 0.03015100 0.02725400 0.01057700 0.00502300	2.588675446	99.95971667
sample64 	[('Delta', 0.8977779999958972), ('Other', 0.09469200000220292), ('Omicron', 0.00752999999974628)]	AY.4 AY.4.2 B AY.28 AY.9.2 AY.4.10 AY.38 AY.25.1 AY.4.9 AY.46 AY.9 B.1 BA.1 B.1.1.529	0.40659400 0.09392200 0.08834800 0.08150100 0.07753800 0.06430900 0.06319600 0.03412700 0.02730100 0.02599100 0.02329900 0.00634400 0.00488000 0.00265000	3.311114492	99.95971667
sample65 	[('Omicron', 0.7888014999774888), ('Other', 0.1266915000141005), ('Delta', 0.08450699991192075)]	BA.1.18 BA.1.1.14 BA.1.16 B XM BA.1.15 B.1.1.529 AY.6 B.1.617.2 BA.1.1 miscBA2BA1PostSpike B.1.78	0.26648550 0.12108650 0.11612900 0.11063800 0.09709550 0.08823500 0.07451550 0.05829400 0.02621300 0.02525450 0.01401550 0.00203800	6.996846698	99.95971667
sample66 	[('Other', 0.9999999999958353)]	B	1	18.25029342	99.95971667
sample67 	[('Omicron', 0.3259399999702546), ('Delta', 0.32079999998402703), ('Other', 0.21312899999533705), ('BA.2* [Omicron (BA.2.X)]', 0.14013099999152226)]	BA.1.18 BA.2.3.16 AY.4 B BA.2.5 AY.9.2 BA.1.15.1 BA.2.11 BA.1.1.13 AY.28 B.1.617.2 AY.43 BA.1.1.10 AY.4.9 BA.1.16 AY.4.2 BA.1.1.1 B.1.1.529 BA.2.8 BA.2.1 B.1.78 AY.4.10 AY.25.1 BA.3 BA.1.3 AY.25 B.1 BA.2.23	0.14924300 0.12216400 0.10864100 0.07302000 0.06875000 0.06685600 0.04825500 0.04461800 0.03668600 0.02802500 0.02767000 0.02549200 0.02350700 0.02081300 0.01924300 0.01743100 0.01715100 0.01618500 0.01457000 0.01113200 0.01067100 0.00981500 0.00875100 0.00799700 0.00767300 0.00730600 0.00727400 0.00106100	7.532247105	99.95971667
sample68 	[('Other', 0.9999999999847677)]	B	1	19.62780465	99.95971667
sample69 	[('Omicron', 0.6399999996752906), ('Delta', 0.29999999987176773), ('Other', 0.05999999999092653)]	BA.1.9 BA.1.10 AY.4 B.1.617.2 BA.1.15 BA.1.18 B BA.1.16 AY.38	0.23493700 0.20584700 0.13793100 0.11206900 0.08108100 0.06122400 0.06000000 0.05691100 0.05000000	9.058545761	99.95971667
sample70 	[('Omicron', 0.8022509999944669), ('Other', 0.10133300000627146), ('Delta', 0.09641599999634909)]	BA.1.18 BA.1.1 BA.1.10 B BA.1.15.1 BA.1.15 BA.1.3 BA.1.1.13 BA.1.19 AY.4 AY.9 BA.1.16 B.1.78 AY.9.2 AY.25 AY.4.10 AY.43 AY.4.2 AY.113 B.1.617.2 BA.1.1.14	0.16460900 0.15248600 0.14413000 0.08571400 0.07848100 0.07184000 0.07012200 0.05747100 0.04298600 0.02507800 0.02126100 0.01821000 0.01561900 0.01161600 0.00841300 0.00786400 0.00780200 0.00736300 0.00462200 0.00239700 0.00191600	4.514674883	99.95971667
sample71 	[('Omicron', 0.9310349999377885), ('Other', 0.06896499999694965)]	BA.1.10 BA.1.18 BA.1.15 B BA.1.16 BA.1.9 BA.1 B.1	0.52419600 0.14583300 0.14285700 0.05952400 0.05725200 0.03230100 0.02859600 0.00944100	2.803649367	99.95971667
sample72 	[('Delta', 0.908758999844275), ('Other', 0.09124099998312052)]	AY.4 AY.28 AY.9.2 B AY.4.2 AY.4.10 AY.4.9 AY.38 AY.25.1 AY.46 AY.9 B.1	0.41206600 0.09668900 0.09280700 0.08974000 0.08013700 0.06206900 0.05674300 0.04909600 0.03067000 0.02470200 0.00378000 0.00150100	3.172504729	99.95971667
sample73 	[('Delta', 0.7599999999260516), ('Other', 0.15262100002029044), ('Omicron', 0.08737899996713899)]	AY.4 B AY.6 AY.28 BA.1.10 AY.4.2 AY.38 AY.113 AY.129 AY.43 B.1.617.2	0.19924500 0.15262100 0.10166200 0.09302300 0.08737900 0.08433700 0.08361000 0.08335300 0.05737700 0.04545500 0.01193800	9.041565554	99.95971667
sample74 	[('Omicron', 0.9130430000000236), ('Other', 0.0869569999997905)]	BA.1.18 BA.1.15.1 BA.1.19 BA.1.16 BA.1.1.13 B B.1 B.1.1.161	0.35897400 0.25000000 0.13143900 0.09154900 0.08108100 0.07547200 0.01003400 0.00145100	3.268579598	99.95971667
sample75 	[('Other', 0.9999999999940908)]	B	1	20.4782636	99.95971667
sample76 	[('Omicron', 0.9230769999836472), ('Other', 0.07692300001954447)]	BA.1.18 BA.1.15.1 BA.1.1.13 BA.1.19 BA.1.1.1 B BA.1.16 BA.1.3 BA.1.1.14 BA.1.1	0.33034500 0.16812500 0.10785300 0.10508700 0.09070300 0.07692300 0.07499200 0.03678200 0.00531700 0.00387300	1.728682518	99.95971667
sample77 	[('Omicron', 0.9176949998450373), ('Other', 0.08230500003651521)]	BA.1.19 BA.1.3 BA.1.10 BA.1.18 BA.1.1 BA.1.16 BA.1 B B.1.1.161 BA.1.9	0.21212100 0.17777800 0.14566600 0.13265300 0.09090900 0.08032100 0.06055200 0.05000000 0.03230500 0.01769500	3.150070162	99.95971667
sample78 	[('Delta', 0.7364059992161482), ('Other', 0.16373500076291944), ('Omicron', 0.09985899925623413)]	B AY.6 AY.9.2 AY.4 AY.4.9 AY.43 AY.28 AY.4.2 AY.129 BA.1.18 AY.75 AY.25 B.1.1.529 AY.4.10 BA.1.15.1 BA.1.1.13 BA.1.16 AY.25.1	0.16373500 0.14002900 0.10104600 0.09370200 0.09206700 0.07138000 0.06486500 0.04648700 0.04512400 0.03439800 0.03004700 0.02307600 0.02193700 0.01869200 0.01790500 0.01562500 0.00999400 0.00989100	7.783592607	99.95971667
